model,tox,auc,acc,loss


MTL_small,hERG_val,0.9171843,0.84615386,0.37321392
MTL_small,hERG,0.7751634,0.8181818,0.65418637
MTL_small,DILI_val,0.93589747,0.85106385,0.3667025
MTL_small,DILI,0.8544973,0.8125,0.59183985
MTL_small,AMES_val,0.9015581,0.8255494,0.4977225
MTL_small,AMES,0.8886673,0.82005495,0.52560264
MTL_small,ClinTox_val,0.92022794,0.9391892,0.18046719
MTL_small,ClinTox,0.6467391,0.9391892,0.32731962
MTL_small,Skin Reaction_val,0.31578946,0.65,1.0819236
MTL_small,Skin Reaction,0.7692307,0.73170733,0.67295384
MTL_small,Carcinogens_Lagunin_val,0.9322916,0.9285714,0.2007446
MTL_small,Carcinogens_Lagunin,0.96875006,0.8214286,0.24902667
MTL_small,hERG_Karim_val,0.9210023,0.84375,0.39092273
MTL_small,hERG_Karim,0.9077662,0.8237918,0.44436684
MTL_small,hERG_val,0.8894445,0.83076924,0.48566124
MTL_small,hERG,0.88888896,0.75757575,0.48821387
MTL_small,DILI_val,0.840909,0.7659575,0.61568576
MTL_small,DILI,0.94918334,0.8541667,0.35261655
MTL_small,AMES_val,0.8769205,0.7967033,0.56849074
MTL_small,AMES,0.882133,0.8228022,0.552197
MTL_small,ClinTox_val,0.8834587,0.9256757,0.23829965
MTL_small,ClinTox,0.8772322,0.9324324,0.20262839
MTL_small,Skin Reaction_val,0.7445141,0.775,0.6465028
MTL_small,Skin Reaction,0.79875,0.75609756,0.7461894
MTL_small,Carcinogens_Lagunin_val,0.8645833,0.89285713,0.2866322
MTL_small,Carcinogens_Lagunin,0.8639456,0.9285714,0.38372263
MTL_small,hERG_Karim_val,0.90808576,0.83407736,0.4207421
MTL_small,hERG_Karim,0.9175578,0.84758365,0.384792
MTL_small,hERG_val,0.9434461,0.8923077,0.269995
MTL_small,hERG,0.8327547,0.7878788,0.54478157
MTL_small,DILI_val,0.9365943,0.87234044,0.36615267
MTL_small,DILI,0.91958046,0.8958333,0.39965653
MTL_small,AMES_val,0.8944747,0.8214286,0.5081795
MTL_small,AMES,0.89838517,0.8447802,0.49090454
MTL_small,ClinTox_val,0.86018246,0.9459459,0.19249924
MTL_small,ClinTox,0.79595214,0.8851351,0.37316507
MTL_small,Skin Reaction_val,0.76166666,0.7,0.7283166
MTL_small,Skin Reaction,0.8580645,0.8292683,0.43713295
MTL_small,Carcinogens_Lagunin_val,0.85625005,0.8214286,0.42562622
MTL_small,Carcinogens_Lagunin,0.6401515,0.8214286,0.77918905
MTL_small,hERG_Karim_val,0.92374724,0.85491073,0.3858516
MTL_small,hERG_Karim,0.9058199,0.83122677,0.43019316
MTL_small,hERG_val,0.8560606,0.75384617,0.5369013
MTL_small,hERG,0.92721164,0.8636364,0.33544666
MTL_small,DILI_val,0.85,0.7446808,0.6226299
MTL_small,DILI,0.88521737,0.8333333,0.5201726
MTL_small,AMES_val,0.8841703,0.8088033,0.5439139
MTL_small,AMES,0.9085091,0.8214286,0.46027216
MTL_small,ClinTox_val,0.9014037,0.9455782,0.18180351
MTL_small,ClinTox,0.8401278,0.9459459,0.217456
MTL_small,Skin Reaction_val,0.75,0.775,0.5324793
MTL_small,Skin Reaction,0.75119054,0.68292683,0.7923246
MTL_small,Carcinogens_Lagunin_val,0.87499994,0.8214286,0.47402817
MTL_small,Carcinogens_Lagunin,0.8652173,0.78571427,0.5769144
MTL_small,hERG_Karim_val,0.90846443,0.82886904,0.42282
MTL_small,hERG_Karim,0.90170884,0.83420074,0.44908923
BERT,hERG_val,0.90909094,0.84615386,0.46962735
BERT,hERG,0.8791322,0.7878788,0.55354863
BERT,DILI_val,0.8891942,0.7659575,0.58759224
BERT,DILI,0.8505245,0.7291667,0.5435834
BERT,AMES_val,0.89274246,0.8269231,0.5316234
BERT,AMES,0.8925951,0.8337912,0.55871606
BERT,ClinTox_val,0.79772085,0.9121622,0.31057993
BERT,ClinTox,0.84737885,0.9121622,0.24398486
BERT,Skin Reaction_val,0.82967037,0.8,0.5850378
BERT,Skin Reaction,0.815,0.75609756,0.61321175
BERT,Carcinogens_Lagunin_val,0.8537415,0.89285713,0.3755402
BERT,Carcinogens_Lagunin,0.9319728,0.8214286,0.31791118
BERT,hERG_Karim_val,0.90730274,0.828125,0.45918423
BERT,hERG_Karim,0.91854113,0.8535316,0.41097748
GPU_BERT,hERG_val,0.8768499,0.84615386,0.47632137
GPU_BERT,hERG,0.90444213,0.7878788,0.44092062
GPU_BERT,DILI_val,0.85439545,0.7659575,0.68627167
GPU_BERT,DILI,0.8784965,0.8125,0.4854587
GPU_BERT,AMES_val,0.8999559,0.8228022,0.5069513
GPU_BERT,AMES,0.8932299,0.8406593,0.54413766
GPU_BERT,ClinTox_val,0.8319088,0.9189189,0.2983899
GPU_BERT,ClinTox,0.802588,0.9391892,0.24667619
GPU_BERT,Skin Reaction_val,0.8585165,0.725,0.53688365
GPU_BERT,Skin Reaction,0.78375006,0.68292683,0.6943207
GPU_BERT,Carcinogens_Lagunin_val,0.952381,0.89285713,0.23591825
GPU_BERT,Carcinogens_Lagunin,0.8537416,0.85714287,0.47534314
GPU_BERT,hERG_Karim_val,0.9043669,0.82886904,0.4551813
GPU_BERT,hERG_Karim,0.91982734,0.8394052,0.3954467
